Function stats for (Thread) (12): 

Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..23 EmoAff_wlist._get_affect_subset  816    0.006789  0.963377  0.001181
..ataset_wlist._get_minmaxmost_words  1908   0.019738  0.962362  0.000504
../python3.8/statistics.py:790 stdev  4525   0.011672  0.946060  0.000209
..thon3.8/statistics.py:699 variance  4525   0.017873  0.932036  0.000206
../core/series.py:2079 Series.idxmax  6767   0.034058  0.856330  0.000127
..ommon.py:388 is_datetime64tz_dtype  111..  0.167442  0.838551  0.000008
..ypes/common.py:201 is_object_dtype  160..  0.234262  0.837865  0.000005
..ges/numpy/core/_methods.py:53 _any  122..  0.114110  0.827928  0.000007
..das/core/dtypes/missing.py:50 isna  63799  0.052946  0.819508  0.000013
..ndexers.py:363 check_array_indexer  19918  0.120692  0.816635  0.000041
..ib/python3.8/statistics.py:677 _ss  4525   0.011447  0.781458  0.000173
..ore/dtypes/missing.py:638 <lambda>  7956   0.009450  0.766787  0.000096
..s/core/dtypes/missing.py:133 _isna  63799  0.118091  0.766562  0.000012
..tils.py:30 unsquished_intersection  29     0.001707  0.755619  0.026056
../construction.py:354 extract_array  122..  0.152727  0.752912  0.000006
..b/python3.8/statistics.py:123 _sum  4528   0.146818  0.726457  0.000160
..pandas/core/nanops.py:377 new_func  6622   0.015514  0.720184  0.000109
../concat.py:425 _get_upcast_classes  16081  0.062198  0.714745  0.000044
..ndexes/base.py:742 RangeIndex.take  16412  0.081799  0.706792  0.000043
..s/pandas/core/nanops.py:516 nansum  6622   0.023027  0.704670  0.000106
..re/dtypes/common.py:1575 get_dtype  384..  0.390830  0.696498  0.000002
..023 _maybe_cast_data_without_dtype  35972  0.104261  0.694094  0.000019
..y:5531 Series._consolidate_inplace  19676  0.025250  0.671292  0.000034
..dexes/base.py:1764 Index.is_unique  40883  0.488558  0.664783  0.000016
..string_cleaner.py:19 clean_comment  871    0.008461  0.657597  0.000755
..xes/base.py:4279 Index.__getitem__  79751  0.222552  0.655293  0.000008
..das/core/series.py:509 Series.name  104..  0.165183  0.653272  0.000006
..:451 _select_upcast_cls_from_dtype  16081  0.089019  0.646501  0.000040
..y:5519 Series._protect_consolidate  19676  0.045558  0.646042  0.000033
..s/construction.py:62 arrays_to_mgr  907    0.004191  0.643174  0.000709
..:1602 SingleBlockManager.get_slice  11703  0.061893  0.636991  0.000054
..s/numeric.py:171 Int64Index.insert  1170   0.003884  0.633124  0.000541
..core/nanops.py:197 _maybe_get_mask  16420  0.033342  0.628197  0.000038
../indexes/base.py:5544 Index.insert  1210   0.010868  0.622374  0.000514
..construction.py:423 sanitize_array  10603  0.089321  0.605311  0.000057
..ypes/common.py:1307 is_float_dtype  148..  0.196034  0.598596  0.000004
..ernals/managers.py:1577 from_array  8381   0.022429  0.594801  0.000071
..ages/pandas/core/generic.py:5535 f  19676  0.031650  0.586961  0.000030
..andas/core/nanops.py:987 nanargmax  6767   0.019114  0.557453  0.000082
..e.py:307 _name_includes_bit_suffix  224..  0.156881  0.545939  0.000002
..managers.py:206 BlockManager.shape  73944  0.162667  0.545433  0.000007
../internals/concat.py:52 <listcomp>  4842   0.012228  0.545362  0.000113
.._tool/glob_maker.py:6 make_wordbag  31     0.000890  0.543007  0.017516
..b_maker.py:18 make_unsquished_glob  29     0.000170  0.537742  0.018543
...py:92 _get_mgr_concatenation_plan  9684   0.160855  0.533133  0.000055
..975 SingleBlockManager.consolidate  19676  0.021470  0.532304  0.000027
..re/indexes/base.py:425 _simple_new  120..  0.270600  0.528864  0.000004
..re/dtypes/common.py:1551 _is_dtype  64491  0.075054  0.521958  0.000008
..es/base.py:5953 maybe_extract_name  109..  0.168094  0.519363  0.000005
..agers.py:126 BlockManager.__init__  36892  0.117085  0.507480  0.000014
../core/common.py:75 is_bool_indexer  31598  0.069393  0.506878  0.000016
..ypes/common.py:573 is_string_dtype  46981  0.059615  0.504474  0.000011
..indexes/base.py:3036 Index.get_loc  60713  0.108226  0.495862  0.000008
..ase.py:5969 _maybe_cast_with_dtype  38533  0.081110  0.493017  0.000013
..core/arraylike.py:31 Series.__ne__  1052   0.002099  0.492674  0.000468
..mmon.py:1743 validate_all_hashable  104..  0.107652  0.488130  0.000005
..nize/__init__.py:114 word_tokenize  871    0.002358  0.487794  0.000560
..xes/base.py:5513 RangeIndex.delete  9070   0.024372  0.478334  0.000053
..se.py:510 Int64Index._shallow_copy  70240  0.134477  0.468281  0.000007
..MultiDataset_wlist._write_mean_std  384    0.001599  0.463528  0.001207
..s/construction.py:145 init_ndarray  863    0.009595  0.462843  0.000536
..andas/core/algorithms.py:1570 take  16412  0.053027  0.458503  0.000028
../core/series.py:2009 Series.idxmin  2999   0.015102  0.449951  0.000150
.. BlockManager._consolidate_inplace  29050  0.027571  0.448090  0.000015
..shape/merge.py:2096 _get_join_keys  4842   0.270164  0.419931  0.000087
..pes/common.py:703 is_integer_dtype  89560  0.133499  0.416104  0.000005
..ore/generic.py:187 Series.__init__  111..  0.293436  0.401109  0.000004
..0 create_block_manager_from_arrays  907    0.006576  0.399243  0.000440
../missing.py:244 _isna_string_dtype  9294   0.145569  0.394107  0.000042
..ore/numerictypes.py:360 issubdtype  80051  0.141580  0.389057  0.000005
..mon.py:757 is_signed_integer_dtype  86624  0.123260  0.388395  0.000004
..pes/cast.py:698 _ensure_dtype_type  50458  0.085899  0.384652  0.000008
..s/core/dtypes/missing.py:264 notna  11642  0.027206  0.383378  0.000033
..nternals/managers.py:208 <genexpr>  221..  0.121002  0.382765  0.000002
..ray_function__ internals>:2 delete  9072   0.016691  0.380812  0.000042
..types/inference.py:322 is_hashable  316..  0.236623  0.376706  0.000001
...py:4215 DataFrame._update_inplace  8020   0.034692  0.373744  0.000047
..okenize/__init__.py:130 <listcomp>  871    0.004377  0.367623  0.000422
..core/dtypes/common.py:187 <lambda>  361..  0.253298  0.364951  0.000001
..ultiDataset_wlist.analyze_comments  2      0.000959  0.363728  0.181864
..es/missing.py:367 array_equivalent  36918  0.086035  0.363678  0.000010
...py:106 NLTKWordTokenizer.tokenize  865    0.017181  0.363245  0.000420
..common.py:429 is_timedelta64_dtype  179..  0.194911  0.362264  0.000002
..das/core/generic.py:4794 <genexpr>  20502  0.028707  0.356202  0.000017
..ore/dtypes/common.py:602 condition  36418  0.027037  0.353727  0.000010
..nals/managers.py:1733 _form_blocks  907    0.024197  0.346724  0.000382
..s/base.py:2127 Index.inferred_type  32657  0.049936  0.344122  0.000011
..y/lib/function_base.py:4236 delete  9072   0.229007  0.342726  0.000038
..4175 Index._coerce_scalar_to_index  1210   0.005682  0.334464  0.000276
..nals/managers.py:1906 _consolidate  705    0.007081  0.330916  0.000469
..._bootstrap>:1017 _handle_fromlist  89056  0.212392  0.330240  0.000004
..es/common.py:605 is_excluded_dtype  10034  0.013693  0.326690  0.000033
..ndas/core/nanops.py:1032 nanargmin  2999   0.009173  0.320925  0.000107
..ore/series.py:692 Series.__array__  19918  0.037532  0.317354  0.000016
../indexes/base.py:600 Index.__len__  313..  0.221067  0.314956  0.000001
..py/core/_ufunc_config.py:32 seterr  58832  0.139939  0.312051  0.000005
..dexes/base.py:4472 Index.identical  10251  0.011933  0.309193  0.000030
..dtypes/common.py:1769 pandas_dtype  162..  0.205287  0.305836  0.000002
..core/dtypes/common.py:195 <lambda>  265..  0.208301  0.303667  0.000001
..pes/inference.py:185 is_array_like  66111  0.074637  0.302069  0.000005
..exers.py:225 maybe_convert_indices  8216   0.191476  0.300385  0.000037
..unction__ internals>:2 concatenate  7792   0.016607  0.296928  0.000038
..ing.py:2148 _AtIndexer.__getitem__  10535  0.031549  0.296273  0.000028
..types/common.py:615 is_dtype_equal  87499  0.120871  0.294389  0.000003
...py:5287 Index._maybe_cast_indexer  60713  0.091984  0.293480  0.000005
..n.py:813 is_unsigned_integer_dtype  73441  0.097986  0.288026  0.000004
..ernals/managers.py:150 from_blocks  29575  0.038342  0.287903  0.000010
..ore/dtypes/common.py:610 <genexpr>  40136  0.030298  0.287150  0.000007
